"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","Statut","ModFin","Missions","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L01C01","L01C01","2","","01","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L02C01","L02C01","2","","02","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L03C01","L03C01","2","","03","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L04C01","L04C01","2","","04","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L05C01","L05C01","2","","05","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L06C01","L06C01","2","","06","01","2.00",2.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L07C01","L07C01","2","","07","01","2.00",2.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P02L08C01","L08C01","2","","08","01","3.50",3.50,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L01C01","L01C01","3","","01","01","2.00",2.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L02C01","L02C01","3","","02","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L04C01","L04C01","3","","04","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L05C01","L05C01","3","","05","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L07C01","L07C01","3","","07","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L08C01","L08C01","3","","08","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L09C01","L09C01","3","","09","01","3.00",3.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L10C01","L10C01","3","","10","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L11C01","L11C01","3","","11","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L12C01","L12C01","3","","12","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L13C01","L13C01","3","","13","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L14C01","L14C01","3","","14","01","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L15C01","L15C01","3","","15","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P03L16C01","L16C01","3","","16","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C01","L01C01","4","","01","01","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C02","L01C02","4","","01","02","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C03","L01C03","4","","01","03","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C04","L01C04","4","","01","04","1.00",1.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C05","L01C05","4","","01","05","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C06","L01C06","4","","01","06","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L01C07","L01C07","4","","01","07","2.00",2.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C01","L02C01","4","","02","01","22.00",22.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C02","L02C02","4","","02","02","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C03","L02C03","4","","02","03","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C04","L02C04","4","","02","04","16.00",16.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C05","L02C05","4","","02","05","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C06","L02C06","4","","02","06","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L02C07","L02C07","4","","02","07","17.67",17.67,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L03C01","L03C01","4","","03","01","73.00",73.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L03C02","L03C02","4","","03","02","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L03C03","L03C03","4","","03","03","0.00",0.00,,
"AS480A",2018-04-01,2019-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","Public","Budget","CPEJ-CLSC-CH-CHSLD-CR","P04L03C04","L03C04","4","","03","04","57.00",57.00,,
