"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C01","L01C01","1","","01","01","4.00",4.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C02","L01C02","1","","01","02","40.00",40.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C01","L02C01","1","","02","01","1.00",1.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C02","L02C02","1","","02","02","10.00",10.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C01","L03C01","1","","03","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C02","L03C02","1","","03","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C01","L04C01","1","","04","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C02","L04C02","1","","04","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C01","L05C01","1","","05","01","2.00",2.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C02","L05C02","1","","05","02","16.00",16.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L06C01","L06C01","1","","06","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L06C02","L06C02","1","","06","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L07C01","L07C01","1","","07","01","117.00",117.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L07C02","L07C02","1","","07","02","228.00",228.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L08C01","L08C01","1","","08","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L08C02","L08C02","1","","08","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L09C01","L09C01","1","","09","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L09C02","L09C02","1","","09","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L10C01","L10C01","1","","10","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L10C02","L10C02","1","","10","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L11C01","L11C01","1","","11","01","49.00",49.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L11C02","L11C02","1","","11","02","59.00",59.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L12C01","L12C01","1","","12","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L12C02","L12C02","1","","12","02","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L13C01","L13C01","1","","13","01","173.00",173.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L13C02","L13C02","1","","13","02","353.00",353.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C01","L01C01","2","","01","01","1403.00",1403.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L02C01","L02C01","2","","02","01","2.00",2.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L03C01","L03C01","2","","03","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L04C01","L04C01","2","","04","01","1405.00",1405.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L05C01","L05C01","2","","05","01","1880.00",1880.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L06C01","L06C01","2","","06","01","1009.00",1009.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L07C01","L07C01","2","","07","01","2889.00",2889.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L08C01","L08C01","2","","08","01","5.18",5.18,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L01C01","L01C01","3","","01","01","928.00",928.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L02C01","L02C01","3","","02","01","138.00",138.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L03C01","L03C01","3","","03","01","27.00",27.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L04C01","L04C01","3","","04","01","204.00",204.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L05C01","L05C01","3","","05","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L06C01","L06C01","3","","06","01","15.00",15.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L07C01","L07C01","3","","07","01","384.00",384.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L08C01","L08C01","3","","08","01","61.00",61.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L09C01","L09C01","3","","09","01","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L10C01","L10C01","3","","10","01","2.00",2.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L11C01","L11C01","3","","11","01","52.00",52.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L12C01","L12C01","3","","12","01","3.00",3.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L13C01","L13C01","3","","13","01","57.00",57.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L14C01","L14C01","3","","14","01","55.00",55.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C01","L01C01","4","","01","01","421.00",421.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C02","L01C02","4","","01","02","283.00",283.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C03","L01C03","4","","01","03","61.00",61.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C04","L01C04","4","","01","04","74.00",74.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C05","L01C05","4","","01","05","1.00",1.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C06","L01C06","4","","01","06","169.00",169.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L01C07","L01C07","4","","01","07","1009.00",1009.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C01","L02C01","4","","02","01","20.35",20.35,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C02","L02C02","4","","02","02","13.66",13.66,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C03","L02C03","4","","02","03","18.92",18.92,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C04","L02C04","4","","02","04","19.24",19.24,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C05","L02C05","4","","02","05","0.00",0.00,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C06","L02C06","4","","02","06","20.87",20.87,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L02C07","L02C07","4","","02","07","18.98",18.98,,
"AS480G",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04L03C01","L03C01","4","","03","01","64.90",64.90,,
