"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C01","L01C01","2","0","01","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C01","L02C01","2","0","02","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L03C01","L03C01","2","0","03","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L04C01","L04C01","2","0","04","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L05C01","L05C01","2","0","05","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L06C01","L06C01","2","0","06","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L07C01","L07C01","2","0","07","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L08C01","L08C01","2","0","08","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L01C01","L01C01","3","0","01","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L02C01","L02C01","3","0","02","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L03C01","L03C01","3","0","03","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L04C01","L04C01","3","0","04","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L05C01","L05C01","3","0","05","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L06C01","L06C01","3","0","06","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L07C01","L07C01","3","0","07","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L08C01","L08C01","3","0","08","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L09C01","L09C01","3","0","09","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L10C01","L10C01","3","0","10","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L11C01","L11C01","3","0","11","01","0.00",0.00,,
