"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L01C01","L01C01","1","0","01","01","4.00",4.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L01C02","L01C02","1","0","01","02","38.00",38.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L02C01","L02C01","1","0","02","01","1.00",1.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L02C02","L02C02","1","0","02","02","10.00",10.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L03C01","L03C01","1","0","03","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L03C02","L03C02","1","0","03","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L04C01","L04C01","1","0","04","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L04C02","L04C02","1","0","04","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L05C01","L05C01","1","0","05","01","3.00",3.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L05C02","L05C02","1","0","05","02","24.00",24.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L06C01","L06C01","1","0","06","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L06C02","L06C02","1","0","06","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L07C01","L07C01","1","0","07","01","134.00",134.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L07C02","L07C02","1","0","07","02","264.00",264.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L08C01","L08C01","1","0","08","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L08C02","L08C02","1","0","08","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L09C01","L09C01","1","0","09","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L09C02","L09C02","1","0","09","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L10C01","L10C01","1","0","10","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L10C02","L10C02","1","0","10","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L11C01","L11C01","1","0","11","01","55.00",55.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L11C02","L11C02","1","0","11","02","70.00",70.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L12C01","L12C01","1","0","12","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L12C02","L12C02","1","0","12","02","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L13C01","L13C01","1","0","13","01","197.00",197.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01-0L13C02","L13C02","1","0","13","02","406.00",406.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L01C01","L01C01","2","0","01","01","1866.00",1866.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L02C01","L02C01","2","0","02","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L03C01","L03C01","2","0","03","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L04C01","L04C01","2","0","04","01","1866.00",1866.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L05C01","L05C01","2","0","05","01","1677.00",1677.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L06C01","L06C01","2","0","06","01","884.00",884.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L07C01","L07C01","2","0","07","01","2561.00",2561.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02-0L08C01","L08C01","2","0","08","01","4.68",4.68,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L01C01","L01C01","3","0","01","01","856.00",856.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L02C01","L02C01","3","0","02","01","134.00",134.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L03C01","L03C01","3","0","03","01","30.00",30.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L04C01","L04C01","3","0","04","01","164.00",164.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L05C01","L05C01","3","0","05","01","1.00",1.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L06C01","L06C01","3","0","06","01","20.00",20.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L07C01","L07C01","3","0","07","01","349.00",349.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L08C01","L08C01","3","0","08","01","93.00",93.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L09C01","L09C01","3","0","09","01","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L10C01","L10C01","3","0","10","01","2.00",2.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L11C01","L11C01","3","0","11","01","86.00",86.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L12C01","L12C01","3","0","12","01","6.00",6.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L13C01","L13C01","3","0","13","01","94.00",94.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03-0L14C01","L14C01","3","0","14","01","91.00",91.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C01","L01C01","4","0","01","01","357.00",357.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C02","L01C02","4","0","01","02","273.00",273.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C03","L01C03","4","0","01","03","50.00",50.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C04","L01C04","4","0","01","04","69.00",69.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C05","L01C05","4","0","01","05","1.00",1.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C06","L01C06","4","0","01","06","134.00",134.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C07","L01C07","4","0","01","07","884.00",884.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C01","L02C01","4","0","02","01","14.83",14.83,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C02","L02C02","4","0","02","02","9.29",9.29,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C03","L02C03","4","0","02","03","8.52",8.52,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C04","L02C04","4","0","02","04","14.05",14.05,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C05","L02C05","4","0","02","05","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C06","L02C06","4","0","02","06","15.26",15.26,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C07","L02C07","4","0","02","07","13.37",13.37,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C01","L03C01","4","0","03","01","56.24",56.24,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C02","L03C02","4","0","03","02","42.89",42.89,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C03","L03C03","4","0","03","03","40.17",40.17,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C04","L03C04","4","0","03","04","49.08",49.08,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C05","L03C05","4","0","03","05","0.00",0.00,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C06","L03C06","4","0","03","06","57.32",57.32,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L03C07","L03C07","4","0","03","07","52.20",52.20,,
"AS480G",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L04C01","L04C01","4","0","04","01","190.00",190.00,,
