"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L01C03","L01C03","1","0","01","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L01C04","L01C04","1","0","01","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L01C05","L01C05","1","0","01","05","1.00",1.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L02C03","L02C03","1","0","02","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L02C04","L02C04","1","0","02","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L02C05","L02C05","1","0","02","05","1.00",1.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L03C03","L03C03","1","0","03","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L03C04","L03C04","1","0","03","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L03C05","L03C05","1","0","03","05","1.00",1.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L04C03","L04C03","1","0","04","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L04C04","L04C04","1","0","04","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L04C05","L04C05","1","0","04","05","1.00",1.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L05C03","L05C03","1","0","05","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L05C04","L05C04","1","0","05","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L05C05","L05C05","1","0","05","05","1.00",1.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L14C03","L14C03","1","0","14","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P01-0L14C04","L14C04","1","0","14","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L01C01","L01C01","2","0","01","01","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L01C02","L01C02","2","0","01","02","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L01C03","L01C03","2","0","01","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L01C04","L01C04","2","0","01","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L01C05","L01C05","2","0","01","05","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L01C06","L01C06","2","0","01","06","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L02C01","L02C01","2","0","02","01","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L02C02","L02C02","2","0","02","02","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L02C03","L02C03","2","0","02","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L02C04","L02C04","2","0","02","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L02C05","L02C05","2","0","02","05","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L02C06","L02C06","2","0","02","06","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L03C01","L03C01","2","0","03","01","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L03C02","L03C02","2","0","03","02","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L03C03","L03C03","2","0","03","03","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L03C04","L03C04","2","0","03","04","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L03C05","L03C05","2","0","03","05","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L03C06","L03C06","2","0","03","06","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L04C01","L04C01","2","0","04","01","0.00",0.00,,
"AS481",2021-04-01,2022-03-31,"10","11042686","CRSSS de la Baie-James","P02-0L04C02","L04C02","2","0","04","02","0.00",0.00,,
