"Rapport";"PeriodeFinanciere";"RSS";"CorrespEtabInstal";"NomAbreg";"Classe";"nomClasse";"Groupe";"GroupeDesc";"Statut";"ModFin";"Missions";"PLC";"LC";"P";"L";"C";"ValeurSaisie";"Chiffre"
"AS484";"2012-2013";"06";"11168606";"CENTRE DE READAPTATION CONSTANCE-LETHBRIDGE";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C06";"L15C06";"10F";"15";"06";"14";14
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL15C04";"L15C04";"10F";"15";"04";"123";123
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C04";"L15C04";"10F";"15";"04";"6796";6796
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C05";"L15C05";"10F";"15";"05";"0";0
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C05";"L15C05";"10F";"15";"05";"188";188
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL15C05";"L15C05";"10F";"15";"05";"32";32
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL15C05";"L15C05";"10F";"15";"05";"188";188
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL15C05";"L15C05";"10F";"15";"05";"4";4
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C05";"L15C05";"10F";"15";"05";"49004";49004
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C06";"L15C06";"10F";"15";"06";"275";275
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C06";"L15C06";"10F";"15";"06";"221";221
"AS484";"2012-2013";"01";"11043478";"CSSS DE LA MITIS";"80";"CSSS";"10";"Centre publique de santé et de services sociaux";"Public";"À budget";"CLSC-CHSLD-CR";"P10FL14C06";"L14C06";"10F";"14";"06";"24";24
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL15C06";"L15C06";"10F";"15";"06";"94";94
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C04";"L15C04";"10F";"15";"04";"274";274
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL15C06";"L15C06";"10F";"15";"06";"6492";6492
"AS484";"2012-2013";"06";"12848230";"INSTITUT RAYMOND-DEWAR";"31";"CR";"42";"Centres publics pour personnes ayant une déficience physique - auditive";"Public";"À budget";"CR";"P10FL15C06";"L15C06";"10F";"15";"06";"2244";2244
"AS484";"2012-2013";"16";"13604780";"INSTITUT NAZARETH ET LOUIS-BRAILLE";"31";"CR";"43";"Centres publics pour personnes ayant une déficience physique - visuelle";"Public";"À budget";"CR";"P10FL15C06";"L15C06";"10F";"15";"06";"169";169
"AS484";"2012-2013";"14";"18415299";"CENTRE DE READAPT. EN DEFICIENCE PHYSIQUE LE BOUCLIER";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL15C06";"L15C06";"10F";"15";"06";"93254";93254
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"60";60
"AS484";"2012-2013";"16";"11043080";"CENTRE MONTEREGIEN DE READAPTATION";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"108656";108656
"AS484";"2012-2013";"01";"11043478";"CSSS DE LA MITIS";"80";"CSSS";"10";"Centre publique de santé et de services sociaux";"Public";"À budget";"CLSC-CHSLD-CR";"P10FL16C01";"L16C01";"10F";"16";"01";"3";3
"AS484";"2012-2013";"12";"11043817";"CR EN DEFICIENCE PHYSIQUE CHAUDIERE-APPALACHES";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"17";17
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL16C01";"L16C01";"10F";"16";"01";"1359";1359
"AS484";"2012-2013";"13";"11097029";"HOPITAL JUIF DE READAPTATION";"21";"CHSGS";"30";"Centres publics pour convalescents";"Public";"À budget";"CH";"P10FL16C01";"L16C01";"10F";"16";"01";"9";9
"AS484";"2012-2013";"06";"11168606";"CENTRE DE READAPTATION CONSTANCE-LETHBRIDGE";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL16C01";"L16C01";"10F";"16";"01";"59";59
"AS484";"2012-2013";"06";"11044716";"CENTRE DE READAPTATION MAB-MACKAY";"31";"CR";"47";"Centres privés conventionnés pour personnes ayant une déficience physique - motrice";"Privé";"Conventionné général";"CHSLD-CR";"P10FL15C06";"L15C06";"10F";"15";"06";"598";598
"AS484";"2012-2013";"06";"12694659";"CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE";"21";"CHSGS";"10";"Centres publics universitaires - 300 lits ou plus";"Public";"À budget";"CH-CHSLD";"P10FL15C01";"L15C01";"10F";"15";"01";"3057";3057
"AS484";"2012-2013";"03";"11042900";"INST. DE READAPTATION EN DEFICIENCE PHYSIQUE DE QUEBEC";"31";"CR";"44";"Centres publics pour personnes ayant une déficience physique - motrice";"Public";"À budget";"CR";"P10FL17C04";"L17C04";"10F";"17";"04";"0";0
