"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C03","L01C03","1","","01","03","16.00",16.00,"51221729","Centre hospitalier de Mont-Joli"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C04","L01C04","1","","01","04","0.00",0.00,"51221729","Centre hospitalier de Mont-Joli"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C05","L01C05","1","","01","05","0.00",0.00,"51221729","Centre hospitalier de Mont-Joli"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C03","L02C03","1","","02","03","0.00",0.00,"51227965","CR en déficience physique de Rimouski-Neigette"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C04","L02C04","1","","02","04","0.00",0.00,"51227965","CR en déficience physique de Rimouski-Neigette"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C05","L02C05","1","","02","05","0.00",0.00,"51227965","CR en déficience physique de Rimouski-Neigette"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C03","L03C03","1","","03","03","5.00",5.00,"51218352","Centre hospitalier régional du Grand-Portage"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C04","L03C04","1","","03","04","0.00",0.00,"51218352","Centre hospitalier régional du Grand-Portage"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C05","L03C05","1","","03","05","0.00",0.00,"51218352","Centre hospitalier régional du Grand-Portage"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C03","L04C03","1","","04","03","0.00",0.00,"51224376","CR en déficience physique de Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C04","L04C04","1","","04","04","0.00",0.00,"51224376","CR en déficience physique de Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C05","L04C05","1","","04","05","0.00",0.00,"51224376","CR en déficience physique de Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C03","L05C03","1","","05","03","0.00",0.00,"51221729","CR en déficience physique de Mont-Joli"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C04","L05C04","1","","05","04","0.00",0.00,"51221729","CR en déficience physique de Mont-Joli"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C05","L05C05","1","","05","05","0.00",0.00,"51221729","CR en déficience physique de Mont-Joli"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L40C03","L40C03","1","","40","03","21.00",21.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L40C04","L40C04","1","","40","04","0.00",0.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L40C05","L40C05","1","","40","05","0.00",0.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C03","L01C03","2","","01","03","5378.00",5378.00,"51221729","URFI Mont-Joli et URFI Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C06","L01C06","2","","01","06","21.00",21.00,"51221729","URFI Mont-Joli et URFI Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C07","L01C07","2","","01","07","69.97",69.97,"51221729","URFI Mont-Joli et URFI Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C08","L01C08","2","","01","08","5378.00",5378.00,"51221729","URFI Mont-Joli et URFI Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C09","L01C09","2","","01","09","7686.00",7686.00,"51221729","URFI Mont-Joli et URFI Rivière-du-Loup"
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L40C03","L40C03","2","","40","03","5378.00",5378.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L40C06","L40C06","2","","40","06","21.00",21.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L40C07","L40C07","2","","40","07","69.97",69.97,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L40C08","L40C08","2","","40","08","5378.00",5378.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L40C09","L40C09","2","","40","09","7686.00",7686.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C05","L01C05","4","0","01","05","1.00",1.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C06","L01C06","4","0","01","06","7.00",7.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C07","L01C07","4","0","01","07","8.00",8.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C08","L01C08","4","0","01","08","3.00",3.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L01C09","L01C09","4","0","01","09","19.00",19.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C04","L02C04","4","0","02","04","1.00",1.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C05","L02C05","4","0","02","05","4.00",4.00,,
"AS484",2020-04-01,2021-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L02C06","L02C06","4","0","02","06","22.00",22.00,,
